Default Dataset,
X,Y
43.5,180.54545454545453
54.5,182.04545454545453
65.5,181.95454545454547
76.5,181.86363636363637
87.5,180.77272727272728
98.5,180.04545454545453
109.5,179.6818181818182
120.5,179.77272727272728
131.5,179.95454545454547
142.5,180.5
153.5,181.04545454545453
164.5,181.3181818181818
175.5,181.5
186.5,181.5909090909091
197.5,181.5909090909091
208.5,181.6818181818182
219.5,181.5
230.5,181.77272727272728
241.5,182.5
252.5,182.95454545454547
263.5,182.95454545454547
274.5,182.77272727272728
285.5,183.3181818181818
296.5,183.5
307.5,183.5
318.5,183.22727272727272
329.5,181.5909090909091
340.5,180.54545454545453
351.5,174.86363636363637
362.5,168.86363636363637
373.5,164.5
384.5,161.63636363636363
395.5,160.5
406.5,163.77272727272728
417.5,163.5909090909091
428.5,165.5909090909091
439.5,165.77272727272728
450.5,165.3181818181818
461.5,165.3181818181818
472.5,164.5909090909091
483.5,164.13636363636363
494.5,164.77272727272728
505.5,163.36363636363637
516.5,161.27272727272728
527.5,158.13636363636363
538.5,157.36363636363637
549.5,156.77272727272728
560.5,157.3181818181818
571.5,157.86363636363637
582.5,158.5
593.5,158.6818181818182
604.5,159.22727272727272
615.5,159.04545454545453
626.5,161.5
637.5,162.86363636363637
648.5,163.95454545454547
659.5,163.4090909090909
670.5,161.6818181818182
681.5,159.22727272727272
692.5,155.04545454545453
703.5,153.04545454545453
714.5,153.8181818181818
725.5,155.6818181818182
736.5,150.13636363636363
747.5,151.27272727272728
758.5,145.54545454545453
769.5,146.13636363636363
780.5,131.0909090909091
791.5,124.5
799.5,115.1
807.5,103.77272727272727
818.5,100.13636363636364
829.5,99.18181818181819
838.5,106.35714285714286
847.5,112.86363636363636
858.5,107.81818181818181
869.5,105.13636363636364
880.5,109.36363636363636
891.5,112.18181818181819
902.5,114.4090909090909
913.5,115.27272727272727
924.5,118.63636363636364
935.5,125.95454545454545
946.5,126.4090909090909
957.5,128.04545454545453
968.5,132.6818181818182
979.5,134.0909090909091
990.5,135.13636363636363
1001.5,140.77272727272728
1012.5,142.86363636363637
1023.5,142.77272727272728
1034.5,145.77272727272728
1045.5,149.13636363636363
1056.5,149.5909090909091
1067.5,151.5909090909091
1078.5,152.5
1089.5,153.04545454545453
1100.5,153.3181818181818
1111.5,153.6818181818182
1122.5,155.77272727272728
1130.5,156.5
